Title,Type,Level,Publisher,Tag,Price(GHC),Image
The 48 Laws of Money,Literature,All,Victor O. Carl,,50,/Motivational Books/IMG_4646
The Power of The Pussy,Literature,All,Kara King,,50,/Motivational Books/IMG_4648
"How to Talk to Anyone, Anytime, Anywhere",Literature,All,Larry King,,45,/Motivational Books/IMG_4644
The Alchemist,Literature,All,Paulo Coelho,,50,/Motivational Books/IMG_4641
Nice Girls Still Don't Get The Coorner Office,Literature,All,"Lois P. Frankel,",,60,/Motivational Books/IMG_4647
Attitude Is Everything ,Literature,All,KEITH HARRELL,,45,/Motivational Books/IMG_4650
The Psycology of Leadership,Literature,All,SÉBASTIEN PAGE,,50,/Motivational Books/IMG_4645
Becoming Supernatural: How Common People Are Doing the Uncommon,Literature,All,DR. JOE DISPENZA,,60,/Motivational Books/IMG_4639
Getting To Yes Negotiating Agreement Without Giving In,Literature,All,Houghton Mifflin,,50,/Motivational Books/IMG_4638
The Smart Money Woman,Literature,All,ARESE UGWU,,50,/Motivational Books/IMG_4649
How to Talk to Anyone,Literature,All,McGraw-Hill,,40,/Motivational Books/IMG_4636
You Become What You Think,Literature,All,SHUBHAM KUMAR SINGH,,45,/Motivational Books/IMG_4640
"Get Rich, Stay Rich, Pass It On",Literature,All,CATHERINE S. MCBREEN,,50,/Motivational Books/IMG_4637
Discipline Is Destiny,Literature,All,Ryan Holiday,,60,/Motivational Books/IMG_4643
Ego Is The Enemy,Literature,All,Ryan Holiday,,50,/Motivational Books/IMG_4651
"Right Thing, Right Now",Literature,All,Ryan Holiday,,60,/Motivational Books/IMG_4642
"Mpanyin Ka Bi a, Tie: Twer3bea Ho Mmara Bi",Textbook,Junior High Schools,Adwinsa Publications (Gh) Ltd,,,/SecSchool/MPANYIN SERIES/IMG_1844
"Mpanyin Ka Bi a, Tie: Akanfo) amanne3 ne w)n amammer4",Textbook,Junior High Schools,Adwinsa Publications (Gh) Ltd,,,/SecSchool/MPANYIN SERIES/IMG_1845
"Mpanyin Ka Bi a, Tie: Akenkan, Ntease3 ne Anwons3m",Textbook,Junior High Schools,Adwinsa Publications (Gh) Ltd,,,/SecSchool/MPANYIN SERIES/IMG_1846
"Mpanyin Ka Bi a, Tie: Kasadwini",Textbook,Junior High Schools,Adwinsa Publications (Gh) Ltd,,,/SecSchool/MPANYIN SERIES/IMG_1847
Literacy (KG1),Activity Book,Junior High Schools,EBS,,60,/Primary and JHS/EBS_/IMG_0196
Bonjour Amis (B8),Textbook,Junior High Schools,Adwinsa Publications (GH) Ltd,,70,/Primary and JHS/Adwinsa/IMG_1860
Bonjour Amis (B9),Textbook,Junior High Schools,Adwinsa Publications (GH) Ltd,,70,/Primary and JHS/Adwinsa/IMG_1861
Bonjour Amis (B7),Textbook,Junior High Schools,Adwinsa Publications (GH) Ltd,,70,/Primary and JHS/Adwinsa/IMG_1862
Computing (B7),Textbook,Junior High Schools,Adwinsa Publications (GH) Ltd,,75,/Primary and JHS/Adwinsa/IMG_1869
